"","ARREST_PRECINCT","Population","Number_of_Arrests","Arrest_Rate","X1","DBN","School_Name.x","Cohort_Year","Cohort_Total","Grad_Total","Grad_Rate","Borough","Latitude","Longitude","Neighborhood","Building_Code","Register","Violent_Rate","Property_Crime_Rate","Major_Crime_Rate","Behavior_Rate","School_Name.y","Total_Enrollment","per_Male","per_Female","per_ELL","per_SWD","per_Asian","per_Black","per_Hispanic","per_White","per_Poverty","Transfer","District"
"438",110,172634,5865,0.0339736089067044,391,"24Q744","VOYAGES PREPARATORY",2013,106,16,0.151,"Q",40.74373,-73.870642,"Elmhurst","Q744",1136,0,0.352112676056338,0,0.352112676056338,"VOYAGES Preparatory",216,55.6,44.4,0.5,4.2,11.1,21.8,61.6,5.6,72.7,1,"24"
"439",110,172634,5865,0.0339736089067044,380,"24Q296","PAN AMERICAN INTERNATIONAL HIGH SCHOOL",2013,98,88,0.898,"Q",40.74373,-73.870642,"Elmhurst","Q744",1136,0,0.352112676056338,0,0.352112676056338,"Pan American International High School",367,52.3,47.7,88.3,2.2,0.3,0,99.7,0,90.5,0,"24"
"440",110,172634,5865,0.0339736089067044,386,"24Q550","HIGH SCHOOL FOR ARTS AND BUSINESS",2013,182,164,0.901,"Q",40.737427,-73.853178,"Corona","Q456",1168,0,0.171232876712329,0,0.684931506849315,"High School for Arts and Business",887,43.7,56.3,11.6,14.2,8.9,7.7,78.6,3.3,60.4,0,"24"
"441",110,172634,5865,0.0339736089067044,382,"24Q455","NEWTOWN HIGH SCHOOL",2013,495,354,0.715,"Q",40.741122,-73.874721,"Elmhurst","Q455",2053,0.0487092060399415,0.146127618119825,0,0.438382854359474,"Newtown High School",2074,57.3,42.7,31.7,11.5,25.6,8.7,60.4,4,72.5,0,"24"
"442",111,116431,1673,0.0143690254313714,404,"26Q415","BENJAMIN N CARDOZO HIGH SCHOOL",2013,865,788,0.911,"Q",40.752333,-73.75599,"Oakland Gardens","Q415",3628,0.137816979051819,0.441014332965821,0.220507166482911,0.330760749724366,"Benjamin N. Cardozo High School",3628,48,52,5.6,10.8,44.7,18.5,19.2,16,55.7,0,"26"
"443",111,116431,1673,0.0143690254313714,405,"26Q430","FRANCIS LEWIS HIGH SCHOOL",2013,1015,906,0.893,"Q",40.740724,-73.79283,"Auburndale","Q430",4058,0.0492853622474125,0.098570724494825,0.0739280433711188,0.098570724494825,"Francis Lewis High School",4058,50.6,49.4,13.7,12.7,52.7,7.7,23.8,14.3,75.3,0,"26"
"444",111,116431,1673,0.0143690254313714,397,"25Q285","WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHO",2013,89,86,0.966,"Q",40.765133,-73.790083,"Auburndale","Q025",1389,0,0.0719942404607631,0.0719942404607631,0.0719942404607631,"World Journalism Preparatory: A College Board Scho",609,41.4,58.6,0.5,21.7,16.9,6.2,22.3,52.7,48.6,0,"25"
"445",111,116431,1673,0.0143690254313714,407,"26Q495","BAYSIDE HIGH SCHOOL",2013,835,811,0.971,"Q",40.771755,-73.780296,"Bayside-Bayside Hills","Q405",3241,0.123418697932737,0.277692070348658,0.0925640234495526,0.339401419315026,"Bayside High School",3241,50.1,49.9,5.6,13.5,40.2,12.1,27,18.9,73.4,0,"26"
"446",112,112277,2688,0.0239407892978972,431,"28Q440","FOREST HILLS HIGH SCHOOL",2013,910,806,0.886,"Q",40.729402,-73.845637,"Forest Hills","Q440",3800,0,0.157894736842105,0,0.263157894736842,"Forest Hills High School",3800,47.7,52.3,7.3,11.9,25.5,9.2,32.1,31.5,65.1,0,"28"
"447",112,112277,2688,0.0239407892978972,435,"28Q686","QUEENS METROPOLITAN HIGH SCHOOL",2013,234,200,0.855,"Q",40.711367,-73.856698,"Forest Hills","Q686",2123,0,0.0942063118228921,0,0.141309467734338,"Queens Metropolitan High School",1139,50.8,49.2,3.4,15.5,11.3,3.8,44.2,37.5,61.5,0,"28"
